date;open;close;high;low;volume;code
2014-12-03 00:00:00.000000;8.23;8.063;8.518;7.896;7305614;600000
2014-12-04 00:00:00.000000;8.063;8.505;8.525;7.928;7200416;600000
2014-12-05 00:00:00.000000;8.601;8.672;8.973;8.268;8596476;600000
2014-12-08 00:00:00.000000;8.582;8.851;8.999;8.46;7039225;600000
2014-12-09 00:00:00.000000;8.691;8.108;9.076;7.986;8691937;600000
2014-12-10 00:00:00.000000;8.14;8.435;8.493;7.826;6202723;600000
2014-12-11 00:00:00.000000;8.307;8.364;8.685;8.236;4425711;600000
2014-12-12 00:00:00.000000;8.364;8.319;8.576;8.191;3105587;600000
2014-12-15 00:00:00.000000;8.204;8.178;8.217;7.986;3350254;600000
2014-12-16 00:00:00.000000;8.14;8.518;8.525;8.108;4386880;600000
2014-12-17 00:00:00.000000;8.646;9.044;9.223;8.544;8697035;600000
2014-12-18 00:00:00.000000;9.114;8.903;9.191;8.787;4996278;600000
2014-12-19 00:00:00.000000;8.948;9.031;9.101;8.736;4362442;600000
2014-12-22 00:00:00.000000;9.089;9.409;9.742;9.063;6834495;600000
2014-12-23 00:00:00.000000;9.23;9.044;9.601;9.024;4415787;600000
2014-12-24 00:00:00.000000;9.044;8.627;9.101;8.531;4175795;600000
2014-12-25 00:00:00.000000;8.813;9.133;9.146;8.672;4557219;600000
2014-12-26 00:00:00.000000;9.165;9.467;9.512;9.095;4669831;600000
2014-12-29 00:00:00.000000;9.871;9.582;10.178;9.428;6252161;600000
2014-12-30 00:00:00.000000;9.582;9.845;9.935;9.505;4436555;600000
2014-12-31 00:00:00.000000;9.903;10.056;10.12;9.685;4688323;600000
2015-01-05 00:00:00.000000;10.178;10.3;10.415;9.973;5135687;600000
2015-01-06 00:00:00.000000;10.255;10.338;10.691;10.14;5116845;600000
2015-01-07 00:00:00.000000;10.191;10.133;10.364;9.954;3857168;600000
2015-01-08 00:00:00.000000;10.172;9.774;10.178;9.742;3306271;600000
2015-01-09 00:00:00.000000;9.742;9.89;10.415;9.685;4919999;600000
2015-01-12 00:00:00.000000;9.935;9.755;10.069;9.582;3677872;600000
2015-01-13 00:00:00.000000;9.697;9.73;9.877;9.678;1784049;600000
2015-01-14 00:00:00.000000;9.813;9.928;10.12;9.813;3090188;600000
2015-01-15 00:00:00.000000;9.928;10.332;10.351;9.864;3298268;600000
2015-01-16 00:00:00.000000;10.409;10.556;10.736;10.358;4802458;600000
2015-01-19 00:00:00.000000;9.858;9.499;10.082;9.499;6235208;600000
2015-01-20 00:00:00.000000;9.537;9.614;9.723;9.345;4792157;600000
2015-01-21 00:00:00.000000;9.678;10.088;10.172;9.492;4875403;600000
2015-01-22 00:00:00.000000;10.082;10.018;10.101;9.838;2947382;600000
2015-01-23 00:00:00.000000;10.088;10.018;10.281;9.96;3200429;600000
2015-01-26 00:00:00.000000;9.973;9.89;9.992;9.697;2685669;600000
2015-01-27 00:00:00.000000;9.896;9.621;9.896;9.454;3519140;600000
2015-01-28 00:00:00.000000;9.499;9.492;9.685;9.396;2422030;600000
2015-01-29 00:00:00.000000;9.345;9.242;9.409;9.178;2669680;600000
2015-01-30 00:00:00.000000;9.345;9.274;9.415;9.204;2078653;600000
2015-02-02 00:00:00.000000;9.012;8.999;9.14;8.967;2116176;600000
2015-02-03 00:00:00.000000;9.108;9.262;9.268;8.986;1962635;600000
2015-02-04 00:00:00.000000;9.294;9.089;9.351;9.05;1678962;600000
2015-02-05 00:00:00.000000;9.454;9.089;9.486;9.082;3943326;600000
2015-02-06 00:00:00.000000;9.031;9.031;9.178;8.941;1865475;600000
2015-02-09 00:00:00.000000;9.012;9.076;9.146;8.877;2245855;600000
2015-02-10 00:00:00.000000;9.069;9.249;9.281;9.024;1836935;600000
2015-02-11 00:00:00.000000;9.249;9.242;9.319;9.172;1241270;600000
2015-02-12 00:00:00.000000;9.242;9.198;9.249;9.044;1489541;600000
2015-02-13 00:00:00.000000;9.294;9.249;9.403;9.198;2083668;600000
2015-02-16 00:00:00.000000;9.249;9.23;9.268;9.14;1392200;600000
2015-02-17 00:00:00.000000;9.242;9.274;9.345;9.236;1206652;600000
2015-02-25 00:00:00.000000;9.281;9.153;9.294;9.089;1409325;600000
2015-02-26 00:00:00.000000;9.133;9.371;9.409;9.044;2150139;600000
2015-02-27 00:00:00.000000;9.358;9.313;9.486;9.281;1956068;600000
2015-03-02 00:00:00.000000;9.345;9.281;9.345;9.204;2187632;600000
2015-03-03 00:00:00.000000;9.255;8.973;9.255;8.96;2663724;600000
2015-03-04 00:00:00.000000;9.005;8.916;9.018;8.877;1565959;600000
2015-03-05 00:00:00.000000;8.871;8.704;8.871;8.659;2265045;600000
2015-03-06 00:00:00.000000;8.704;8.736;8.832;8.678;1280363;600000
2015-03-09 00:00:00.000000;8.851;9.3;9.422;8.723;4348014;600000
2015-03-10 00:00:00.000000;9.178;9.037;9.21;9.018;2548447;600000
2015-03-11 00:00:00.000000;9.082;9.133;9.332;9.082;2150697;600000
2015-03-12 00:00:00.000000;9.39;9.691;9.973;9.345;6327818;600000
2015-03-13 00:00:00.000000;9.736;9.8;10.127;9.665;4401783;600000
2015-03-16 00:00:00.000000;9.973;9.915;10.005;9.742;3161166;600000
2015-03-17 00:00:00.000000;9.999;9.96;10.05;9.845;3096776;600000
2015-03-18 00:00:00.000000;9.979;10.178;10.178;9.89;3546551;600000
2015-03-19 00:00:00.000000;10.178;10.024;10.185;9.986;3167709;600000
2015-03-20 00:00:00.000000;10.012;10.095;10.313;9.851;4565312;600000
2015-03-23 00:00:00.000000;10.14;10.197;10.281;10.108;3575927;600000
2015-03-24 00:00:00.000000;10.185;10.056;10.255;9.999;3246575;600000
2015-03-25 00:00:00.000000;9.999;9.768;10.076;9.71;3317303;600000
2015-03-26 00:00:00.000000;9.71;9.845;9.986;9.64;2823407;600000
2015-03-27 00:00:00.000000;9.819;9.845;9.967;9.723;2181749.78;600000
2015-03-30 00:00:00.000000;9.967;10.268;10.383;9.896;4874426;600000
2015-03-31 00:00:00.000000;10.563;10.12;10.627;10.088;4940492;600000
2015-04-01 00:00:00.000000;10.12;10.223;10.345;10.095;3058783;600000
2015-04-02 00:00:00.000000;10.447;10.37;10.499;10.172;4100876;600000
2015-04-03 00:00:00.000000;10.255;10.383;10.441;10.21;3203615;600000
2015-04-07 00:00:00.000000;10.576;10.71;10.813;10.544;5022602;600000
2015-04-08 00:00:00.000000;10.723;10.909;10.922;10.544;5148163;600000
2015-04-09 00:00:00.000000;10.928;10.813;11.204;10.768;4973354;600000
2015-04-10 00:00:00.000000;10.806;11.236;11.261;10.742;4515434;600000
2015-04-13 00:00:00.000000;11.531;11.556;11.845;11.293;5814065;600000
2015-04-14 00:00:00.000000;11.556;11.466;11.563;11.255;3728370;600000
2015-04-15 00:00:00.000000;11.409;11.511;11.825;11.351;4496439;600000
